race,class,level,str,agi,sta,inte,spi,basehp,basemana
1,1,1,23,20,22,20,20,20,0
1,1,2,24,21,23,20,20,29,0
1,1,3,26,22,24,20,21,38,0
1,1,4,27,22,26,20,21,47,0
1,1,5,28,23,27,20,21,56,0
1,1,6,30,24,28,20,21,65,0
1,1,7,31,25,29,21,22,74,0
1,1,8,32,26,30,21,22,83,0
1,1,9,34,26,32,21,22,92,0
1,1,10,35,27,33,21,23,101,0
1,1,11,36,28,34,21,23,100,0
1,1,12,38,29,35,21,23,109,0
1,1,13,39,30,37,21,24,118,0
1,1,14,41,31,38,21,24,128,0
1,1,15,42,32,39,21,24,139,0
1,1,16,44,33,41,21,25,151,0
1,1,17,45,34,42,22,25,154,0
1,1,18,47,34,43,22,25,168,0
1,1,19,48,35,45,22,26,183,0
1,1,20,50,36,46,22,26,199,0
1,1,21,51,37,48,22,26,206,0
1,1,22,53,38,49,22,27,224,0
1,1,23,54,39,51,22,27,243,0
1,1,24,56,40,52,23,28,253,0
1,1,25,58,41,53,23,28,274,0
1,1,26,59,42,55,23,28,296,0
1,1,27,61,43,56,23,29,309,0
1,1,28,63,44,58,23,29,333,0
1,1,29,64,45,59,23,30,348,0
1,1,30,66,46,61,24,30,374,0
1,1,31,68,47,62,24,30,401,0
1,1,32,69,48,64,24,31,419,0
1,1,33,71,50,66,24,31,448,0
1,1,34,73,51,67,24,32,468,0
1,1,35,74,52,69,24,32,499,0
1,1,36,76,53,70,25,33,521,0
1,1,37,78,54,72,25,33,545,0
1,1,38,80,55,74,25,34,581,0
1,1,39,82,56,75,25,34,609,0
1,1,40,83,57,77,25,35,649,0
1,1,41,85,58,79,26,35,681,0
1,1,42,87,60,80,26,35,715,0
1,1,43,89,61,82,26,36,761,0
1,1,44,91,62,84,26,36,799,0
1,1,45,93,63,85,26,37,839,0
1,1,46,95,64,87,27,37,881,0
1,1,47,97,66,89,27,38,935,0
1,1,48,99,67,91,27,38,981,0
1,1,49,101,68,93,27,39,1029,0
1,1,50,103,69,94,28,40,1079,0
1,1,51,105,71,96,28,40,1131,0
1,1,52,107,72,98,28,41,1185,0
1,1,53,109,73,100,28,41,1241,0
1,1,54,111,74,102,29,42,1299,0
1,1,55,113,76,103,29,42,1359,0
1,1,56,115,77,105,29,43,1421,0
1,1,57,117,78,107,29,43,1485,0
1,1,58,119,79,109,30,44,1551,0
1,1,59,121,81,111,30,44,1619,0
1,1,60,123,82,113,30,45,1689,0
1,1,61,125,83,115,30,46,1902,0
1,1,62,127,85,117,31,46,2129,0
1,1,63,129,86,119,31,47,2357,0
1,1,64,132,88,121,31,47,2612,0
1,1,65,134,89,123,32,48,2883,0
1,1,66,136,90,125,32,49,3169,0
1,1,67,138,92,127,32,49,3455,0
1,1,68,140,93,129,32,50,3774,0
1,1,69,143,95,131,33,50,4109,0
1,1,70,145,96,133,33,51,4444,0
1,2,1,22,20,22,20,21,28,60
1,2,2,23,21,23,21,22,36,78
1,2,3,24,21,24,21,22,44,98
1,2,4,25,22,25,22,23,52,104
