id,name,required_level,required_item,required_item2,heroic_key,heroic_key2,required_quest_done,required_quest_done_heroic,target_map,target_position_x,target_position_y,target_position_z,target_orientation,condition_id
45,"Scarlet Monestary Graveyard - Entering",20,0,0,0,0,0,0,189,1687.27,1050.09,18.6773,1.5708,0
78,"Deadmines - Entering",10,0,0,0,0,0,0,36,-14.5732,-385.475,62.4561,1.5708,0
101,"Stormwind Stockades - Entering",15,0,0,0,0,0,0,34,48.9849,0.483882,-16.3942,0.0,0
107,"Stormwind Vault Entrance",0,0,0,0,0,0,0,35,-0.91,40.57,-24.23,0.0,0
109,"Stormwind Vault Instance",0,0,0,0,0,0,0,0,-8653.45,606.19,91.16,0.0,0
119,"Deadmines - Exiting",0,0,0,0,0,0,0,0,-11208.7,1675.9,24.5733,4.71239,0
121,"Deadmines - Exiting after ship",0,0,0,0,0,0,0,0,-11339.9,1572.45,94.3916,1.5708,0
145,"Shadowfang Keep - Entering",10,0,0,0,0,0,0,33,-228.191,2111.41,76.8904,1.22173,0
194,"Shadowfang Keep - Exiting",0,0,0,0,0,0,0,0,-233.011,1567.5,76.8921,4.27606,0
226,"The Barrens - Wailing Caverns",0,0,0,0,0,0,0,1,-740.059,-2214.23,16.1374,5.68,0
228,"The Barrens - Wailing Caverns",10,0,0,0,0,0,0,43,-163.49,132.9,-73.66,5.83,0
242,"Razorfen Kraul - Exiting",0,0,0,0,0,0,0,1,-4463.32,-1664.29,82.2436,3.92699,0
244,"Razorfen Kraul - Entering",17,0,0,0,0,0,0,47,1942.27,1544.23,81.8051,1.309,0
257,"Blackfathom Deeps - Entering",19,0,0,0,0,0,0,48,-150.234,106.594,-39.779,4.45059,0
259,"Blackfathom Deeps Instance Start",0,0,0,0,0,0,0,1,4247.74,745.879,-24.5299,0.0,0
286,"Uldaman - Entering",30,0,0,0,0,0,0,70,-228.859,46.1018,-46.0186,1.5708,0
288,"Uldaman - Exiting",0,0,0,0,0,0,0,0,-6066.25,-2954.56,209.772,3.14159,0
322,"Gnomeregan Instance Start",0,0,0,0,0,0,0,0,-5163.33,927.623,257.188,0.0,0
324,"Gnomeregan - Entering",20,0,0,0,0,0,0,90,-329.098,-3.20722,-152.851,2.96706,0
442,"Razorfen Downs Entrance",25,0,0,0,0,0,0,129,2592.55,1107.5,51.29,4.74,0
444,"Razorfen Downs Instance Start",0,0,0,0,0,0,0,1,-4658.12,-2526.35,82.9671,0.0,0
446,"Altar of Atal'Hakkar (Sunken Temple) - Entering",35,0,0,0,0,0,0,109,-315.903,100.197,-131.849,3.14159,0
448,"Altar of Atal'Hakkar (Sunken Temple) - Exiting",0,0,0,0,0,0,0,0,-10176.6,-3995.35,-112.185,3.00197,0
503,"Stormwind stockades - Exiting",0,0,0,0,0,0,0,0,-8766.11,845.499,87.9952,3.83972,0
523,"Gnomeregan Train Depot Entrance",20,0,0,0,0,0,0,90,-736.51,2.71,-249.99,3.14,0
525,"Gnomeregan Train Depot Instance",0,0,0,0,0,0,0,0,-4858.27,756.435,244.923,0.0,0
527,"Teddrassil - Ruth Theran",0,0,0,0,0,0,0,1,8786.36,967.445,30.197,3.39632,0
542,"Teddrassil - Darnassus",0,0,0,0,0,0,0,1,9945.13,2616.89,1316.46,4.61446,0
602,"Scarlet Monestary Graveyard - Exiting",0,0,0,0,0,0,0,0,2915.34,-801.58,160.333,3.49066,0
604,"Scarlet Monestary Cathedral - Exiting",0,0,0,0,0,0,0,0,2915.13,-823.637,160.327,3.49066,0
606,"Scarlet Monestary Armory - Exiting",0,0,0,0,0,0,0,0,2885.96,-835.802,160.327,0.349066,0
608,"Scarlet Monestary Library - Exiting",0,0,0,0,0,0,0,0,2869.32,-820.818,160.333,0.349066,0
610,"Scarlet Monestary Cathedral - Entering",20,0,0,0,0,0,0,189,853.179,1319.18,18.6714,1.5708,0
612,"Scarlet Monestary Armory - Entering",20,0,0,0,0,0,0,189,1608.1,-318.919,18.6714,4.71239,0
614,"Scarlet Monestary Library - Entering",20,0,0,0,0,0,0,189,253.672,-206.624,18.6773,4.71239,0
702,"Stormwind - Wizard Sanctum Room",0,0,0,0,0,0,0,0,-9015.8,874.6,148.617,5.31,0
704,"Stormwind - Wizard Sanctum Tower Portal",0,0,0,0,0,0,0,0,-9017.4,886.3,29.6206,5.38,0
882,"Uldaman Instance End",0,0,0,0,0,0,0,0,-6620.48,-3765.19,266.91,0.0,0
902,"Uldaman Exit",30,0,0,0,0,0,0,70,-214.02,383.607,-38.7687,0.5,0
922,"Zul'Farrak - Exiting",0,0,0,0,0,0,0,1,-6795.56,-2890.72,8.88742,3.14159,0
924,"Zul'Farrak - Entering",35,0,0,0,0,0,0,209,1212.67,842.04,8.93346,0.0,0
943,"Leap of Faith - End of fall",0,0,0,0,0,0,0,1,-5187.47,-2804.32,-8.375,5.76,0
1064,"Onyxia's Lair - Exiting",0,0,0,0,0,0,0,1,-4750.38,-3754.44,49.0485,0.785398,0
1103,"Booty Bay to Gnomeregan",0,0,0,0,0,0,0,0,-5100.92,754.567,260.55,0.0,2034
1104,"Gnomeregan to Booty Bay",0,0,0,0,0,0,0,0,-14461.9,458.295,15.1639,0.0,2034
1466,"Blackrock Depths - Entering",40,0,0,0,0,0,0,230,456.929,34.0923,-69.5617,4.71239,0
1468,"Blackrock Spire - Entering",45,0,0,0,0,0,0,229,78.3534,-226.841,49.7662,4.71239,0
1470,"Blackrock Spire - Exiting",0,0,0,0,0,0,0,0,-7524.7,-1228.41,285.733,1.74533,0
1472,"Blackrock Depths - Exiting",0,0,0,0,0,0,0,0,-7178.41,-922.152,166.092,2.00713,0
2166,"Deeprun Tram - Ironforge Instance (Inside)",0,0,0,0,0,0,0,0,-4838.95,-1318.46,501.868,1.42372,0
2171,"Deeprun Tram - Stormwind Instance (Inside)",0,0,0,0,0,0,0,0,-8364.57,535.981,91.7969,2.24619,0
2173,"Deeprun Tram - Stormwind Instance",0,0,0,0,0,0,0,369,68.3006,2490.91,-4.29647,3.12192,0
2175,"Deeprun Tram - Ironforge Instance",0,0,0,0,0,0,0,369,69.2542,10.257,-4.29664,3.09832,0
2214,"Stratholme - Entering Back Door",45,0,0,0,0,0,0,329,3590.87,-3643.22,138.491,5.49779,0
2216,"Stratholme - Entering Left Front",45,0,0,0,0,0,0,329,3392.92,-3395.03,143.135,1.5708,0
2217,"Stratholme - Entering Right Front",45,0,0,0,0,0,0,329,3392.84,-3364.44,142.965,4.71239,0
2221,"Stratholme - Exiting Back Door",0,0,0,0,0,0,0,0,3233.06,-4048.3,108.442,2.00713,0
2226,"Ragefire Chasm - Exiting",0,0,0,0,0,0,0,1,1814.99,-4419.23,-18.8151,1.91986,0
2230,"Ragefire Chasm - Entering",8,0,0,0,0,0,0,389,0.797643,-8.23429,-15.5288,4.71239,0
2406,"Shadowfang Keep - Falling out",0,0,0,0,0,0,0,0,-233.011,1567.5,76.8921,4.27606,0
2530,"Hall of Legends - Ogrimmar (Inside)",0,0,0,0,0,0,0,1,1637.32,-4242.7,56.1827,4.1927,0
